0 109 91 94 91 91 128 126 90 147 91 91 97 178 91 136 91 90 91 154 91 127 151 90 91 91 119 90 95 92 104 90 -- ad=-21, fs=0
90 109 91 93 90 140 150 132 212 105 90 98 91 97 90 90 157 90 91 160 91 90 101 117 91 135 90 90 -- ad=0, fs=0
92 109 90 95 245 90 95 90 123 91 90 115 142 -- ad=-9, fs=0
91 109 90 93 91 91 135 91 124 90 90 148 91 91 97 141 91 -- ad=-8, fs=0
90 109 91 93 90 140 151 145 91 94 90 90 113 91 93 91 90 93 90 100 91 99 90 91 99 -- ad=1, fs=1
91 109 91 93 91 123 90 115 109 90 165 91 90 91 90 91 129 90 129 149 165 90 -- ad=0, fs=0
90 109 91 94 91 91 93 90 158 90 91 90 90 116 -- ad=8, fs=0
104 109 91 93 90 115 107 90 90 91 91 90 90 93 90 90 102 130 91 90 90 91 94 90 -- ad=7, fs=0
90 109 91 94 91 91 136 90 90 91 171 100 91 91 90 92 96 90 120 -- ad=-4, fs=2
91 109 91 93 90 123 90 105 90 90 112 90 91 96 91 112 106 169 90 -- ad=-11, fs=0
90 109 91 94 91 91 124 90 140 90 90 91 141 91 165 119 90 97 91 92 -- ad=8, fs=0
90 124 126 91 90 91 90 90 90 94 190 104 91 90 103 94 91 90 93 90 171 91 90 103 90 -- ad=5, fs=2
91 109 91 93 90 123 91 130 99 153 107 178 90 113 90 90 111 90 111 103 168 91 91 90 91 -- ad=-4, fs=0
90 109 91 93 91 121 90 90 103 91 92 90 90 220 91 131 91 90 94 90 96 90 91 90 113 -- ad=4, fs=0
90 109 91 94 91 90 96 90 91 95 90 90 91 91 115 90 139 90 90 167 91 116 90 -- ad=-10, fs=0
104 109 91 94 91 91 124 90 147 90 91 120 90 119 91 157 91 90 173 91 129 102 90 -- ad=-7, fs=2
91 109 91 95 125 112 91 121 113 91 90 90 90 138 91 132 90 139 127 91 93 96 90 99 90 172 -- ad=5, fs=2
91 93 91 109 90 106 210 141 90 91 94 135 90 90 91 93 93 115 156 91 153 90 90 112 91 91 92 91 90 -- ad=-2, fs=1
90 109 91 94 91 91 167 90 90 91 95 90 90 148 90 151 90 90 136 134 155 115 103 -- ad=8, fs=0
90 109 90 93 91 91 158 94 113 91 90 91 96 90 142 -- ad=9, fs=3
90 109 91 94 91 91 136 90 90 91 168 90 106 90 90 138 90 90 106 -- ad=-9, fs=0
90 109 90 93 91 91 135 91 124 90 90 148 91 91 97 141 91 -- ad=-8, fs=0
90 109 91 93 90 140 150 108 91 90 111 91 91 194 98 90 169 -- ad=14, fs=1
91 109 90 93 91 91 148 91 90 151 90 91 163 108 151 112 144 90 149 90 90 99 -- ad=1, fs=0
90 109 91 95 125 112 91 121 113 91 90 91 90 124 90 91 91 100 90 91 173 91 158 91 108 -- ad=-16, fs=1
91 124 126 91 90 91 90 90 90 94 190 104 91 90 103 94 91 90 93 90 171 91 90 103 90 -- ad=5, fs=2
91 109 90 93 91 91 98 90 90 92 91 160 91 170 130 91 91 90 134 91 90 167 90 124 90 91 140 91 137 138 -- ad=-2, fs=0
90 109 90 93 91 91 158 94 113 91 90 91 96 90 142 -- ad=9, fs=3
90 109 91 93 91 156 91 91 126 90 91 91 91 120 91 90 90 112 90 90 164 120 91 90 90 90 -- ad=-3, fs=0
90 109 90 93 91 91 91 90 111 195 91 90 154 90 90 113 90 -- ad=-6, fs=0
90 109 91 93 91 123 91 166 160 91 90 100 90 116 128 90 173 90 114 131 -- ad=11, fs=0
91 109 91 94 91 90 90 90 90 109 91 101 90 98 90 -- ad=-11, fs=0
90 109 91 94 91 91 141 90 171 91 90 91 107 157 121 90 90 119 90 -- ad=8, fs=0
90 109 91 94 91 91 93 90 146 90 90 90 127 91 90 90 90 127 121 131 -- ad=-12, fs=0
90 109 90 93 91 91 90 90 92 90 96 90 90 159 90 91 90 90 91 138 105 -- ad=10, fs=0
90 109 91 93 90 123 90 105 90 90 112 90 91 96 91 112 106 169 90 -- ad=-11, fs=0
90 109 91 93 91 92 91 90 90 162 91 91 90 129 91 113 90 90 90 -- ad=7, fs=1
91 109 91 93 91 120 91 91 91 91 90 91 100 91 90 97 91 91 90 90 -- ad=-2, fs=0
161 109 91 93 90 140 150 108 91 90 111 91 91 194 98 90 169 -- ad=14, fs=1
90 109 91 94 91 91 163 145 90 115 91 90 117 90 146 91 121 90 111 90 90 91 -- ad=-17, fs=0
90 109 91 93 91 97 91 90 91 120 90 95 91 143 90 90 90 90 -- ad=15, fs=0
90 109 91 94 91 91 136 90 90 90 95 90 151 91 91 118 90 91 109 90 90 109 -- ad=2, fs=0
90 109 91 94 91 90 96 90 91 95 90 90 91 91 115 90 139 90 90 167 91 116 90 -- ad=-10, fs=0
103 109 91 94 91 91 124 90 142 90 90 119 91 158 90 147 91 90 90 105 91 90 91 90 91 -- ad=2, fs=0
91 109 90 93 91 91 126 90 105 90 110 90 122 91 136 91 91 90 91 90 91 103 94 90 -- ad=8, fs=1
90 109 91 93 90 137 90 150 90 90 136 161 103 91 93 189 112 91 131 91 119 133 136 124 108 128 90 90 139 90 -- ad=-12, fs=0
90 109 91 93 90 137 90 150 90 90 136 161 103 90 121 123 108 91 91 91 90 101 90 102 90 124 90 90 90 90 90 90 98 108 158 -- ad=-4, fs=0
91 109 91 93 91 164 90 91 90 154 123 112 90 91 91 90 90 90 91 133 154 90 97 91 91 114 91 91 166 91 100 90 -- ad=16, fs=0
90 109 91 93 90 132 115 166 90 91 90 202 112 91 90 90 91 108 143 91 97 95 160 90 157 104 91 132 156 109 90 131 106 115 -- ad=-13, fs=0
91 109 91 93 90 132 115 107 90 157 279 90 108 136 106 91 90 157 91 164 100 90 91 90 128 90 151 91 101 91 102 155 -- ad=7, fs=2
90 109 91 93 90 137 90 150 90 90 136 161 103 91 93 189 112 91 131 91 119 133 136 124 108 128 90 90 139 90 -- ad=-12, fs=0
90 109 91 93 91 164 90 91 90 154 123 112 90 91 91 90 90 90 91 133 154 90 97 91 91 114 91 91 166 91 100 90 -- ad=16, fs=0
90 109 91 93 91 123 91 130 99 153 107 162 91 90 90 135 90 91 91 100 91 90 90 90 136 -- ad=-6, fs=0
90 109 90 93 91 91 153 91 90 91 99 90 161 90 150 91 90 126 91 99 90 148 90 100 196 117 91 90 90 91 121 91 90 157 145 -- ad=7, fs=0
90 102 121 107 90 109 145 91 94 90 91 151 90 143 91 139 90 118 91 91 110 91 151 90 114 90 91 91 113 90 -- ad=-2, fs=0
