 90 109 90 93 91 90 95 91 91 138 157 96 90 120 91 97 107 90 90 93 -- move 44
90 109 90 93 91 90 95 91 91 138 157 96 90 120 91 97 107 90 90 93 -- move 44
90 109 90 93 91 90 95 91 91 138 157 96 90 120 91 97 107 90 90 93 -- move 44
90 109 90 93 91 90 95 91 91 138 157 96 90 120 91 97 107 90 90 93 -- move 44
90 109 90 93 91 90 95 91 91 138 157 96 90 120 91 97 107 90 90 93 -- move 44
90 109 90 93 91 90 95 91 91 138 157 96 90 120 91 97 107 90 90 93 -- move 44
-- duplicate the arm
--0 109 91 93 91 97 90 90 122 91 132 90 93 90 120 90 162 90 91 91 91 93 392                         -- 319(2)   -5/5/3 392 P rcw, R 2426
--0 109 90 93 91 90 95 91 91 118 90 99 90 97 91 161 169 136 90 91 157 594                           -- 319(2)  -5/32/1 394 P rcw, L 2548
--0 109 91 94 91 91 128 126 90 125 91 90 155 90 106 90 99 90 109 90 90 90 112 91 90 115 392         -- 319(2)  -5/53/3 392 P rcw, R 2862 
--0 109 91 94 91 91 136 91 91 90 132 90 90 125 90 114 128 90 103 91 91 91 90 91 97 90 91 90 115 395 -- 319(2) -5/-30/4 395 P rcw, L 3102 
90 109 91 93 91 118 90 91 91 91 90 90 173 90 107 90 91 90 91 1163                                   -- 319(2)   3/12/6 395 P flip, L 2096
--0 109 91 94 91 91 167 90 90 91 107 90 90 150 90 91 91 130 90 91 90 90 107 91 593                  -- 319(2)   3/-5/1 393 P flip, R 2631
-- convert original arm to target block on the left for P rcw L =O or P flip L =E
-- E0E :) 
-- debug 819!
-- make scorbie splitters and turners and partial SoD (target on right) E
93 91 90 144 90 100 186 164 90 205 106 90 93 90 162 141 90 91 91 111 -- ap=0 +fl=-1, ad=13, fs=0
90 109 91 94 91 91 92 90 146 90 90 90 91 135 91 152 -- ap=13 -fl=11, ad=-5, fs=1
135 109 91 94 91 91 124 90 170 90 90 91 90 99 91 90 91 110 121 161 117 115 137 90 91 -- ap=8 +fl=23, ad=8, fs=0
90 109 91 94 91 91 121 90 90 90 90 90 90 99 90 165 119 90 106 90 90 -- ap=16 +fl=12, ad=8, fs=0
90 109 91 94 91 91 93 90 125 90 147 161 124 90 100 90 90 118 95 91 90 91 91 90 90 97 205 -- ap=24 +fl=37, ad=11, fs=1
90 109 91 93 91 92 91 98 201 91 153 90 163 139 91 91 90 91 140 91 121 122 136 90 160 91 91 90 91 90 90 90 90 90 91 -- ap=35 -fl=-44, ad=-2, fs=0
90 109 91 93 91 123 91 133 91 95 91 143 91 112 90 91 110 91 90 90 91 91 107 90 98 112 91 184 90 -- ap=33 -fl=-42, ad=17, fs=0
90 109 91 94 91 91 124 90 142 90 90 119 91 158 90 147 91 90 90 154 -- ap=50 +fl=30, ad=-25, fs=1
91 109 91 93 91 155 106 91 91 162 91 115 90 98 90 169 90 101 91 90 90 91 92 91 90 91 139 91 -- ap=25 -fl=-31, ad=-12, fs=0
91 109 90 93 91 91 98 90 90 100 90 90 96 90 97 163 90 98 229 117 90 104 91 91 90 90 109 91 -- ap=13 -fl=-43, ad=29, fs=0
91 109 91 93 90 121 90 91 143 90 118 96 91 96 122 161 90 90 102 91 90 151 90 90 105 108 103 90 -- ap=42 +fl=36, ad=11, fs=0
91 109 91 94 91 91 93 90 97 91 91 161 90 91 90 91 90 99 90 90 99 91 90 133 91 114 91 99 90 100 -- ap=53 -fl=-50, ad=2, fs=0
93 109 91 93 90 132 115 107 90 157 279 90 96 91 90 91 140 91 92 91 126 91 146 90 91 90 90 170 91 90 91 -- ap=55 -fl=-54, ad=-25, fs=1
91 109 90 93 91 91 153 91 90 91 99 90 161 90 153 91 100 91 92 90 147 91 90 90 125 91 105 141 90 90 91 90 90 98 90 91 -- ap=30 +fl=58, ad=-18, fs=0
91 109 91 93 91 123 90 99 90 90 104 90 90 137 90 154 109 91 165 135 90 101 114 91 92 160 130 90 126 91 114 121 90 97 90 90 128 95 121 -- ap=12 +fl=66, ad=3, fs=0
90 109 91 94 91 91 93 90 128 90 149 91 127 91 167 144 127 90 102 91 90 112 91 159 91 131 101 140 91 90 107 117 127 90 141 91 126 91 91 142 240 90 90 91 91 108 90 91 116 91 120 90 -- ap=15 -fl=-80, ad=40, fs=0
91 109 91 94 91 91 93 90 97 91 91 161 90 91 90 91 90 99 90 90 99 91 90 133 91 114 91 99 90 100 -- ap=55 -fl=-50, ad=2, fs=0
93 109 90 93 91 91 107 90 94 91 90 92 90 95 90 91 90 153 90 90 140 91 114 91 98 90 109 -- ap=57 -fl=-41, ad=-10, fs=0
94 109 91 93 90 140 150 132 212 105 90 98 91 97 90 90 134 125 163 91 93 90 101 91 90 -- ap=47 -fl=-35, ad=27, fs=0
90 109 91 94 91 90 136 90 91 90 155 90 134 91 112 91 91 113 100 116 90 113 91 113 91 91 90 140 91 157 -- ap=74 +fl=47, ad=-29, fs=0
90 109 91 94 91 91 93 90 97 91 91 161 90 91 90 91 90 99 90 90 99 91 90 133 91 114 91 99 90 100 -- ap=45 -fl=-50, ad=2, fs=0
93 109 90 93 91 91 98 90 90 100 90 90 96 90 97 163 90 98 229 117 90 104 91 91 90 90 109 91 -- ap=47 -fl=-43, ad=29, fs=0
90 109 91 93 90 127 90 91 117 90 108 91 121 90 92 90 91 116 90 129 91 98 175 90 90 -- ap=76 +fl=20, ad=7, fs=1
90 109 91 93 91 118 90 91 91 91 90 90 163 92 91 90 103 90 91 143 91 111 -- ap=83 -fl=-28, ad=-32, fs=0
148 109 91 93 91 97 90 90 102 91 91 116 93 90 112 90 109 91 147 91 -- ap=51 -fl=-16, ad=-23, fs=0
90 93 91 116 90 157 91 122 188 90 91 90 91 116 90 91 153 90 91 110 90 91 132 91 128 90 -- ap=28 +fl=25, ad=30, fs=0
90 109 91 94 91 91 93 90 125 90 147 161 124 90 100 90 90 118 95 91 90 91 91 90 90 97 205 -- ap=58 +fl=37, ad=11, fs=1
90 109 91 93 91 123 91 133 91 95 91 143 91 112 90 90 110 91 149 90 138 126 90 90 90 90 105 90 120 -- ap=69 -fl=-42, ad=36, fs=0
90 109 91 93 90 130 91 90 90 91 91 155 90 90 118 90 91 140 98 169 90 144 90 142 91 96 91 90 167 -- ap=105 -fl=-49, ad=-22, fs=1
